Product Name,Description,Category,Use Cases,Processed_Description,ImagePath
UiPath Studio,An automation tool for designing business process automation.,Automation Design,Designing workflows for automated tasks.,automation tool designing business process automation.,images/UiPath_Studio.png
UiPath Attended Robot,Executes the process steps designed in UiPath Studio in unattended mode without human intervention,Automation Execution,Running automated processes.,executes process steps designed uipath studio unattended mode without human intervention,images/UiPath_Attended_Robot.png
UiPath Unattended Robot,"Executes the process steps designed in UiPath Studio in attended mode with human intervention required, this robot requires human to be connected to the same machine",Automation Execution,Running automated processes.,"executes process steps designed uipath studio attended mode human intervention required, robot requires human connected machine",images/UiPath_Unattended_Robot.png
UiPath Unattended Robot Test,"Executes the process steps designed in UiPath Studio in attended mode with human intervention required, this robot requires human to be connected to the same machine",Automation Execution,Running automated processes.,"executes process steps designed uipath studio attended mode human intervention required, robot requires human connected machine",images/UiPath_Unattended_Robot_Test.png
UiPath Orchestrator,"Manages, monitors, and controls automated processes.",Process Management,Scheduling and monitoring automations.,"manages, monitors, controls automated processes.",images/UiPath_Orchestrator.png
UiPath AI Center,Orchestrates and integrates AI into business processes.,AI Integration,Deploying and managing AI models.,orchestrates integrates ai business processes.,images/UiPath_AI_Center.png
UiPath Action Center,Facilitates human-robot collaboration by allowing human input when needed.,Human-Robot Interaction,Approving invoices during processing.,facilitates human-robot collaboration allowing human input needed.,images/UiPath_Action_Center.png
UiPath Apps,A low-code application development platform.,Application Development,Building custom applications.,low-code application development platform.,images/UiPath_Apps.png
UiPath Assistant,A desktop launchpad providing users easy access to automations.,User Interface,Launching daily task automations.,desktop launchpad providing users easy access automations.,images/UiPath_Assistant.png
UiPath Automation Hub,Enables employees to suggest and track new processes for automation.,Idea Management,Crowdsourcing automation ideas.,enables employees suggest track new processes automation.,images/UiPath_Automation_Hub.png
UiPath Document Understanding,"Extracts, interprets, and processes data from various document types.",Document Processing,Processing invoices and receipts.,"extracts, interprets, processes data various document types.",images/UiPath_Document_Understanding.png
UiPath Insights,Provides analytics for automated processes.,Analytics,Monitoring automation performance.,provides analytics automated processes.,images/UiPath_Insights.png
UiPath Process Mining,Analyzes application logs to uncover new automation opportunities.,Process Analysis,Identifying process inefficiencies.,analyzes application logs uncover new automation opportunities.,images/UiPath_Process_Mining.png
UiPath StudioX,A simplified platform allowing business users to build their own robots.,Citizen Development,Automating tasks without coding.,simplified platform allowing business users build robots.,images/UiPath_StudioX.png
UiPath Test Suite,Automates and centralizes testing to ensure quality.,Testing,Testing automated workflows.,automates centralizes testing ensure quality.,images/UiPath_Test_Suite.png
